data-itemid,data-product-name,data-variant,data-category,data-brand,data-price,data-dimension9,data-dimension,data-metric2,item-link,item-image-link
1M768U010MC1656A905,Venezia,Silver,shoes-flats,Casadei,790,SS2022,FP,267,https://www.casadei.com/en/shoes/flats/venezia-silver-1M768U010MC1656A905.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwffd9075f/images/zoom/1M768U010MC1656_A905_3.jpg?sw=804&sh=1200&sm=fit
1M772U100TC05463302,Penny,Blush pink,shoes-sandals,Casadei,765,SS2022,FP,260,https://www.casadei.com/en/shoes/sandals/penny-blush-pink-1M772U100TC05463302.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw06ffb80a/images/zoom/1M772U100TC0546_3302_3.jpg?sw=804&sh=1200&sm=fit
1M780U0801T0341A932,Julia Roma,Gold and Etruria,shoes-sandals,Casadei,540,SS2022,FP,183,https://www.casadei.com/en/shoes/sandals/julia-roma-gold-and-etruria-1M780U0801T0341A932.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw292232ef/images/zoom/1M780U0801T0341_A932_3.jpg?sw=804&sh=1200&sm=fit
1M781U010MT0341A932,Roma,Gold and Etruria,shoes-flats,Casadei,480,SS2022,FP,163,https://www.casadei.com/en/shoes/flats/roma-gold-and-etruria-1M781U010MT0341A932.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwe533c732/images/zoom/1M781U010MT0341_A932_3.jpg?sw=804&sh=1200&sm=fit
1M785U160GT0344A934,Rock,Canyon and Dafne,shoes-platforms,Casadei,1105,SS2022,FP,375,https://www.casadei.com/en/shoes/platforms/rock-canyon-and-dafne-1M785U160GT0344A934.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw9feab934/images/zoom/1M785U160GT0344_A934_3.jpg?sw=804&sh=1200&sm=fit
1M790U0601C16852615,Margot,Rum,shoes-sandals,Casadei,675,SS2022,FP,229,https://www.casadei.com/en/shoes/sandals/margot-rum-1M790U0601C16852615.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwaaeca23c/images/zoom/1M790U0601C1685_2615_3.jpg?sw=804&sh=1200&sm=fit
1M793U060MT0345A933,K Blade Firenze,Spiaggia rosa and Dafne,shoes-sandals,Casadei,675,SS2022,FP,229,https://www.casadei.com/en/shoes/sandals/k-blade-firenze-spiaggia-rosa-and-dafne-1M793U060MT0345A933.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwf8222a60/images/zoom/1M793U060MT0345_A933_3.jpg?sw=804&sh=1200&sm=fit
1M799U0601C1747A984,Brightness,Naturale and Gold,shoes-sandals,Casadei,675,SS2022,FP,229,https://www.casadei.com/en/shoes/sandals/brightness-naturale-and-gold-1M799U0601C1747A984.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw0327aad4/images/zoom/1M799U0601C1747_A984_3.jpg?sw=804&sh=1200&sm=fit
1M807U0601T02642102,Versilia,Mais,shoes-sandals,Casadei,550,SS2022,FP,187,https://www.casadei.com/en/shoes/sandals/versilia-mais-1M807U0601T02642102.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw63915220/images/zoom/1M807U0601T0264_2102_3.jpg?sw=804&sh=1200&sm=fit
1M807U1001T02642618,Versilia,Etruria,shoes-sandals,Casadei,560,SS2022,FP,190,https://www.casadei.com/en/shoes/sandals/versilia-etruria-1M807U1001T02642618.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwcb48a996/images/zoom/1M807U1001T0264_2618_3.jpg?sw=804&sh=1200&sm=fit
1M819U0601T03512804,Tangeri,Natur,shoes-sandals,Casadei,510,SS2022,FP,173,https://www.casadei.com/en/shoes/sandals/tangeri-natur-1M819U0601T03512804.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw1d76ec44/images/zoom/1M819U0601T0351_2804_3.jpg?sw=804&sh=1200&sm=fit
1M822U0201T03512618,Tangeri,Etruria,shoes-wedges,Casadei,595,SS2022,FP,202,https://www.casadei.com/en/shoes/wedges/tangeri-etruria-1M822U0201T03512618.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwc6595bdb/images/zoom/1M822U0201T0351_2618_3.jpg?sw=804&sh=1200&sm=fit
1N050D0001C04643306,City Light Soraya,Gold Rose,shoes-flats,Casadei,465,SS2020,FP,152,https://www.casadei.com/en/shoes/flats/city-light-soraya-gold-rose-1N050D0001C04643306.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwfd727970/images/zoom/1N050D0001C0464_3306_3.jpg?sw=804&sh=1200&sm=fit
1N060D0201C04641100,City Light Soraya,Gold,shoes-flats,Casadei,560,SS2020,FP,183,https://www.casadei.com/en/shoes/flats/city-light-soraya-gold-1N060D0201C04641100.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwe311b5f4/images/zoom/1N060D0201C0464_1100_3.jpg?sw=804&sh=1200&sm=fit
1N060D0201C04649700,City Light Soraya,Silver,shoes-flats,Casadei,560,SS2020,FP,183,https://www.casadei.com/en/shoes/flats/city-light-soraya-silver-1N060D0201C04649700.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwee78a173/images/zoom/1N060D0201C0464_9700_3.jpg?sw=804&sh=1200&sm=fit
1N167S010MC16609996,Soraya Lacroc,Porcelain,shoes-flats,Casadei,510,SS2022,FP,173,https://www.casadei.com/en/shoes/flats/soraya-lacroc-porcelain-1N167S010MC16609996.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw984e178e/images/zoom/1N167S010MC1660_9996_3.jpg?sw=804&sh=1200&sm=fit
1N168S010MC16609000,Soraya Lacroc,Black,shoes-flats,Casadei,625,SS2022,FP,212,https://www.casadei.com/en/shoes/flats/soraya-lacroc-black-1N168S010MC16609000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw0fe2f7d3/images/zoom/1N168S010MC1660_9000_3.jpg?sw=804&sh=1200&sm=fit
1N193U010MC1661A911,Venezia Soraya,Optimistic Pink,shoes-flats,Casadei,560,SS2022,FP,190,https://www.casadei.com/en/shoes/flats/venezia-soraya-optimistic-pink-1N193U010MC1661A911.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw3b6aae1f/images/zoom/1N193U010MC1661_A911_3.jpg?sw=804&sh=1200&sm=fit
1N193U010MC1661A912,Venezia Soraya,Silver,shoes-flats,Casadei,560,SS2022,FP,190,https://www.casadei.com/en/shoes/flats/venezia-soraya-silver-1N193U010MC1661A912.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw01469ebc/images/zoom/1N193U010MC1661_A912_3.jpg?sw=804&sh=1200&sm=fit
1N193U010MC1661A913,Venezia Soraya,Spiaggia Rosa,shoes-flats,Casadei,560,SS2022,FP,190,https://www.casadei.com/en/shoes/flats/venezia-soraya-spiaggia-rosa-1N193U010MC1661A913.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw1b53b0ad/images/zoom/1N193U010MC1661_A913_3.jpg?sw=804&sh=1200&sm=fit
1N194U010TT0339A020,Penny,White and Black,shoes-flats,Casadei,565,SS2022,FP,192,https://www.casadei.com/en/shoes/flats/penny-white-and-black-1N194U010TT0339A020.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw98d820f7/images/zoom/1N194U010TT0339_A020_3.jpg?sw=804&sh=1200&sm=fit
